,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
95,Paths of Glory,1957,88,8.4,90,"197,228",#60,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']"
96,Sunset Blvd.,1950,110,8.4,^^^^^^,"221,714",#59,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']"
97,The Great Dictator,1940,125,8.4,^^^^^^,"223,712",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']"
98,Ratsasan,2018,170,8.3,^^^^^^,"44,351",*****,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']"
99,Ayla: The Daughter of War,2017,125,8.3,^^^^^^,"39,931",*****,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",Can Ulkay,"['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']"
100,Vikram Vedha,2017,147,8.3,^^^^^^,"44,655",*****,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Directors:Gayatri, Pushkar, Gowtham Selvaraj","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']"
101,Dangal,2016,161,8.3,^^^^^^,"190,528",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
102,Drishyam,2013,160,8.3,^^^^^^,"41,511",*****,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']"
103,Jagten,2012,115,8.3,77,"328,399",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']"
104,Jodaeiye Nader az Simin,2011,123,8.3,95,"244,982",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']"
105,Incendies,2010,131,8.3,80,"177,202",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']"
106,Spider-Man: No Way Home,2021,148,8.3,71,"738,112",$804.75M,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']"
107,Up,2009,96,8.3,88,"1,036,983",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Directors:Pete Docter, Bob Peterson","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']"
108,Toy Story 3,2010,103,8.3,92,"831,666",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']"
109,Inglourious Basterds,2009,153,8.3,69,"1,433,913",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']"
110,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,"1,001,055",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']"
111,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69,"753,995",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']"
112,Requiem for a Dream,2000,102,8.3,68,"837,365",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']"
113,Good Will Hunting,1997,126,8.3,70,"959,890",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']"
114,Toy Story,1995,81,8.3,95,"987,145",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']"
115,Heat,1995,170,8.3,76,"651,379",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']"
116,Reservoir Dogs,1992,99,8.3,79,"1,011,098",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']"
117,Full Metal Jacket,1987,116,8.3,76,"739,058",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']"
118,Once Upon a Time in America,1984,229,8.3,75,"350,985",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']"
119,Scarface,1983,170,8.3,65,"834,404",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']"
120,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,"1,047,012",$309.13M,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
121,The Sting,1973,129,8.3,83,"261,967",$159.60M,Two grifters team up to pull off the ultimate con.,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']"
122,A Clockwork Orange,1971,136,8.3,77,"825,622",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']"
123,2001: A Space Odyssey,1968,149,8.3,84,"665,372",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']"
124,To Kill a Mockingbird,1962,129,8.3,88,"316,275",#110,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']"
125,Lawrence of Arabia,1962,218,8.3,100,"293,326",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"
126,Judgment at Nuremberg,1961,179,8.3,60,"77,888",#134,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']"
127,The Apartment,1960,125,8.3,94,"181,521",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']"
128,North by Northwest,1959,136,8.3,98,"327,421",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']"
129,Vertigo,1958,128,8.3,100,"401,348",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']"
130,Pather Panchali,1955,125,8.3,^^^^^^,"33,146",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi']"
131,Singin' in the Rain,1952,103,8.3,99,"241,998",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Directors:Stanley Donen, Gene Kelly","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']"
132,Ikiru,1952,143,8.3,91,"78,597",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka']"
133,Ladri di biciclette,1948,89,8.3,^^^^^^,"163,601",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell', 'Elena Altieri']"
134,Double Indemnity,1944,107,8.3,95,"157,438",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Billy Wilder,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']"
135,Citizen Kane,1941,119,8.3,100,"441,122",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']"
136,M - Eine Stadt sucht einen Mörder,1931,117,8.3,^^^^^^,"158,025",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke']"
137,Metropolis,1927,153,8.3,98,"174,418",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge']"
138,The Kid,1921,68,8.3,^^^^^^,"126,596",$5.45M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']"
139,Chhichhore,2019,143,8.2,^^^^^^,"54,283",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Nitesh Tiwari,"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Babbar']"
140,1917,2019,119,8.2,78,"579,249",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']"
141,Uri: The Surgical Strike,2019,138,8.2,^^^^^^,"63,884",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']"
142,Tumbbad,2018,104,8.2,^^^^^^,"47,535",*****,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty']"
143,Andhadhun,2018,139,8.2,^^^^^^,"93,042",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"['Tabu', 'Ayushmann Khurrana', 'Radhika Apte', 'Anil Dhawan']"
144,K.G.F: Chapter 1,2018,156,8.2,^^^^^^,"85,486",*****,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
145,Green Book,2018,130,8.2,69,"485,092",$85.08M,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']"
146,Baahubali 2: The Conclusion,2017,167,8.2,^^^^^^,"101,104",$20.19M,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']"
